0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:18:54 +0300] "GET /AutomaticAccessSystem/registerStudent HTTP/1.1" 200 8031
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:18:54 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:18:54 +0300] "GET /AutomaticAccessSystem/resources/js/validator.js HTTP/1.1" 200 10930
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:18:57 +0300] "GET /AutomaticAccessSystem/changepassword HTTP/1.1" 200 7727
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:18:59 +0300] "GET /AutomaticAccessSystem/adduser HTTP/1.1" 200 7542
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:19:00 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:19:02 +0300] "GET /AutomaticAccessSystem/registerStudent HTTP/1.1" 200 8031
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:19:05 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:28 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 13159
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:28 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:28 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:20:29 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:44 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:21:45 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 13161
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6189
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:31 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:23:32 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2016:17:56:09 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 302 -
