0:0:0:0:0:0:0:1 - - [26/May/2016:10:33:24 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:37 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:37 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:44 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:44 +0300] "GET /AutomaticAccessSystem/returnHome HTTP/1.1" 200 5205
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:45 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:45 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:45 +0300] "GET /AutomaticAccessSystem/resources/js/validator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:45 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:45 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:46:51 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:11 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:11 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:11 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:11 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:11 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:11 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:12 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:12 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:12 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:49:15 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 4229
